id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_verifications_phone,host_verifications_offline_government_id,host_verifications_identity_manual,host_verifications_reviews,host_verifications_email,host_verifications_selfie,host_verifications_jumio,host_verifications_government_id,amenities_Coffee_maker,amenities_Free_street_parking,amenities_Extra_pillows_and_blankets,amenities_Washer,amenities_Shampoo,amenities_Dryer,amenities_Hot_water,amenities_Kitchen,amenities_Carbon_monoxide_alarm,amenities_Air_conditioning,amenities_Dedicated_workspace,amenities_Wifi,amenities_First_aid_kit,amenities_Microwave,amenities_Bathtub,amenities_TV,amenities_Essentials,amenities_Free_parking_on_premises,amenities_Cooking_basics,amenities_Private_entrance,amenities_Hair_dryer,amenities_Oven,amenities_Dishes_and_silverware,amenities_Smoke_alarm,amenities_Refrigerator,amenities_Iron,amenities_Heating,amenities_Long_term_stays_allowed,amenities_Bed_linens,amenities_Stove,amenities_Dishwasher,amenities_Hangers,amenities_Fire_extinguisher,bathrooms_type,distance_to_CBD,host_in_same_neighbourhood,host_year,description_words_count,occu_rate_oct,occu_rate_nov,occu_rate_dec,occu_rate_jan,occu_rate_feb,occu_rate_mar,occu_rate_apr,occu_rate_may,occu_rate_jun,occu_rate_jul,occu_rate_aug,occu_rate_sep,Q1,Q2,Q3,Q4
207351,1019125,None,0,0,0,1,0,Pullman,Entire rental unit,Entire home/apt,1,1,1,1,40,30,90,30,30,90,90,30,90,0,0,5,35,124,2021/10/19,42,3,0,30_days,4.9,5,4.8,4.98,5,4.78,4.85,1,2,2,0,0,0.36,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,private,21.0146,1,10,1000,1,1,0.387096774,0,0,0,0.5,1,1,1,1,1,0.795698925,0,0.833333333,1
230836,1185573,within an hour,1,1,0,3,0,Uptown,Private room in condominium (condo),Private room,2,1,1,1,60,180,365,180,180,365,365,180,365,0,30,60,90,365,2021/10/18,4,0,0,30_days,4.5,4.75,4.25,4.5,4.5,4.5,4.25,1,3,1,2,0,0.04,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,private,9.6064,1,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250354,1311953,None,0,0,0,1,0,Near South Side,Entire condominium (condo),Entire home/apt,2,1,1,1,170,180,365,180,180,365,365,180,365,0,23,53,83,358,2021/10/18,39,0,0,30_days,4.84,4.94,4.53,4.94,4.97,4.82,4.47,1,1,1,0,0,0.46,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,private,2.1458,0,10,1000,0.225806452,0,0,0,0,0,0,0,0,0,0,0,0.075268817,0,0,0
258253,1358243,None,0,0.67,0,1,0,West Ridge,Entire rental unit,Entire home/apt,2,1,1,1,48,32,90,32,32,90,90,32,90,0,0,0,29,304,2021/10/19,23,2,0,30_days,4.87,5,4.95,5,5,4.9,4.95,1,1,1,0,0,0.19,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,private,14.6361,1,10,1000,0.419354839,1,0.580645161,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
261509,858008,within a day,0.63,0.5,0,3,0,Near North Side,Entire rental unit,Entire home/apt,2,1,1,1,119,32,1125,32,32,1125,1125,32,1125,0,4,23,53,328,2021/10/18,65,3,1,30_days,4.82,4.89,4.87,4.79,4.87,4.83,4.77,1,1,1,0,0,0.56,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,private,2.6899,0,10,1000,0.322580645,0.9,0,0,0,0,0,0,0,0,0,0,0.407526882,0,0,0
264547,1387948,None,0,0,0,1,0,Near West Side,Entire condominium (condo),Entire home/apt,3,1,2,2,204,10,180,10,10,180,180,10,180,0,27,57,87,362,2021/10/18,67,2,1,30_days,4.84,4.79,4.79,4.95,4.92,4.87,4.76,1,1,1,0,0,1.02,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,private,1.0067,0,10,1000,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0
267646,1313038,None,0,0,0,1,0,Logan Square,Private room in bungalow,Private room,2,1,1,1,103,2,365,2,2,365,365,2,365,0,1,18,48,323,2021/10/19,139,0,0,30_days,4.96,4.92,4.98,4.98,4.98,4.88,4.78,1,1,0,1,0,1.22,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,shared,6.7951,1,10,1000,0.387096774,1,0,0,0,0,0,0,0,0,0,0,0.462365591,0,0,0
289689,1376077,within a few hours,1,0.9,0,1,0,Edgewater,Private room in condominium (condo),Private room,1,1,1,1,29,30,1125,30,30,1125,1125,30,1125,0,10,10,10,245,2021/10/18,63,2,0,30_days,4.77,4.82,4.69,4.87,4.94,4.82,4.82,1,1,0,1,0,0.63,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,private,11.201,1,10,1000,0.451612903,0.666666667,1,1,0.857142857,0,0,0,0,0,0,0,0.70609319,0.619047619,0,0
289884,1500490,within a day,1,0,0,2,0,Logan Square,Entire residential home,Entire home/apt,4,1,1,1,189,1,1124,2,2,1124,1124,2,1124,0,0,0,0,0,2021/10/18,81,0,0,30_days,4.83,4.84,4.79,4.94,4.94,4.47,4.75,1,2,2,0,0,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,private,5.5606,0,10,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290155,1505878,None,0,0,0,2,0,Bridgeport,Entire rental unit,Entire home/apt,6,1,3,3,130,3,90,3,3,1125,1125,3,1125,0,0,0,0,0,2021/10/18,50,0,0,30_days,4.84,4.94,4.62,4.96,5,4.72,4.86,1,2,2,0,0,1.13,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,private,5.7034,1,10,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
